time_s,RequestScannerOn [unary],RecordScannerOn [unary],Periodicity [arbitrary unit],Phase [degree],Left-Right [millimeter],Ant.-Post. [millimeter],Head-Feet [millimeter],MarkerBlockFound [unary]
0.0,0.0,0.0,0.15861258289416,4.804384921903,-2.8939180833323,157.63159288322,620.14170631995,-1.0
0.04,0.0,0.0,0.15942099276426,4.866924506104,-2.8885072033785,157.29991454168,619.95454148643,-1.0
0.08,0.0,0.0,0.1589102830368,4.929847181173,-2.9022070909210997,156.9074442534,619.60026519441,-1.0
0.12,0.0,0.0,0.16103524612391998,4.992961401676,-2.8996743386023,156.54080266788,619.34625577749,-1.0
0.16,0.0,0.0,0.16008825170465998,5.056171394896,-2.8938605207796,156.24723741212,619.3863625275301,-1.0
0.2,0.0,0.0,0.15826355514072,5.118902524531,-2.8865500765867,156.05131725216,619.63034525694,-1.0
0.24,0.0,0.0,0.15907196501082,5.180388608845,-2.8683027473808,155.78641555678,619.70053206951,-1.0
0.28,0.0,0.0,0.15856382166389998,5.242736647612,-2.8590927389488,155.62892346678,620.13836409078,-1.0
0.32,0.0,0.0,0.1563054067887,5.30441427736,-2.8417664105861,155.49726007954,620.66309407047,-1.0
0.36,0.0,0.0,0.1540469919135,5.364559543636,-2.8365857808431,155.20589971304,620.64304069545,-1.0
0.4,0.0,0.0,0.15398026601946,5.426332946101,-2.8280089604908,155.01186945816002,620.8836811956901,-1.0
0.44,0.0,0.0,0.15085184814119998,5.489542939321,-2.8247278949869,154.72869868034002,620.8937078832,-1.0
0.48,0.0,0.0,0.15646965514326,5.552944477975,-2.8377370318971,154.2867758758,620.3221866951301,-1.0
0.52,0.0,0.0,0.15552522710453998,5.614813653157,-2.8384277825295,153.91225968578001,620.11496848659,-1.0
0.56,0.0,0.0,0.15764249105004,5.678694055396,-2.8510915441235,153.57176178720002,619.88101244469,-1.0
0.6,0.0,0.0,0.15757319877546,5.740850548729,-2.8526457330464,153.27032192694,619.88769690303,-1.0
0.64,0.0,0.0,0.15663133711728,5.805592905421,-2.8524154828356,152.96541724070002,619.86430129884,-1.0
0.68,0.0,0.0,0.15656461122324,5.868898671358,-2.8590927389488,152.67594677928,619.84424792382,-1.0
0.72,0.0,0.0,0.16085559948612,5.930863619257,-2.8724472511752,152.36600234616,619.75400773623,-1.0
0.76,0.0,0.0,0.15904116844434,5.994648248779,-2.8678998095119,152.03243409954,619.53676284018,-1.0
0.8,0.0,0.0,0.16071444855641998,6.056996287546,-2.8765917549696,151.63933384290002,619.1557487148,-1.0
0.84,0.0,0.0,0.16412773467462,6.1203978262,-2.8702023116199,151.31049035898002,619.09558858974,-1.0
0.88,0.0,0.0,0.16623216671742,6.183703592137,-2.8606469278717,151.05566815736,619.1991976940101,-1.0
0.92,0.0,0.0,0.16311401436131998,6.245668540036,-2.852530607941,150.88935651032,619.63034525694,-1.0
0.96,0.0,0.0,0.16391215870926,0.026284070772999997,-2.8440113501414,150.62067500478,619.6169763402601,-1.0
1.0,0.0,0.0,0.1681877486889,0.08853633682300001,-2.8477529160669,150.25844319778,619.32954463164,-1.0
1.04,0.0,0.0,0.16724588703072,0.15184210276,-2.8457957892751,149.90975571052002,619.14572202729,-1.0
1.08,0.0,0.0,0.1641328674357,0.21505209598,-2.8421117859023,149.52264015330002,618.77139236025,-1.0
1.12,0.0,0.0,0.16406357516112,0.276921271162,-2.8315202762055,149.27915738216,618.97861056879,-1.0
1.16,0.0,0.0,0.16529287143978,0.340610127967,-2.8179355137683,149.01205079752,619.0086906313201,-1.0
1.2,0.0,0.0,0.16305242122836,0.4027666213,-2.8086103802309,148.81329577994,619.356282465,-1.0
1.24,0.0,0.0,0.15474761380092,0.464923114633,-2.7970403071382,148.69675163334,619.90440804888,-1.0
1.28,0.0,0.0,0.14514678420077998,0.528803516872,-2.7991125590354,148.49358683724,620.10159956991,-1.0
1.32,0.0,0.0,0.13079301784056,0.591343101073,-2.7961768688477,148.24285942996002,620.24197319505,-1.0
1.36,0.0,0.0,0.12943796891544,0.655702366897,-2.786333672336,148.52855008122,620.54277382035,-1.0
1.4,0.0,0.0,0.12635317950636,0.718625041966,-2.8006091854056,149.25805344210002,620.6697785288101,-1.0
1.44,0.0,0.0,0.12716158937646,0.782313898771,-2.8079771921512,149.97401248324002,620.58622279956,-1.0
1.48,0.0,0.0,0.11975758151855999,0.845332346557,-2.8331895902338,150.51200546268,620.18849752833,-1.0
1.52,0.0,0.0,0.08686171575684,0.906818430871,-2.8458533518277997,151.17914195592002,620.31216000762,-1.0
1.56,0.0,0.0,0.07732247928965999,0.970028424091,-2.8495949177532998,151.86391756324002,620.3890312785301,-1.0
1.6,0.0,0.0,0.08074346454947999,1.0318018265559998,-2.8469470403291,152.56160752194,620.5294049036701,-1.0
1.64,0.0,0.0,0.07984523136048,1.0967357286819999,-2.8402697842159,153.3056001551,620.75667648723,-1.0
1.68,0.0,0.0,0.08153647613633999,1.1594668583169998,-2.8331320276811,153.99982528782002,620.7867565497601,-1.0
1.72,0.0,0.0,0.0840874583931,1.2219106698009998,-2.8285270234651,154.6726314963,620.81683661229,-1.0
1.76,0.0,0.0,0.08491383292697999,1.285695299323,-2.8420542233496,155.27677115354,620.5795383412201,-1.0
1.8,0.0,0.0,0.0844467516687,1.347372929071,-2.8498251679641,155.7813758099,620.0147016114901,-1.0
1.84,0.0,0.0,0.08656401561419999,1.410870240442,-2.87382875244,156.31212415320002,619.60694965275,-1.0
1.88,0.0,0.0,0.0856657824252,1.4730267337749998,-2.8925365820674998,156.90523936414002,619.37967806919,-1.0
1.92,0.0,0.0,0.08476754923619999,1.534991681674,-2.9127986006179,157.4933148282,619.08556190223,-1.0
1.96,0.0,0.0,0.08645109487043999,1.5983932203279998,-2.9117049121166,158.21840841056002,619.28275342326,-1.0
2.0,0.0,0.0,0.08770348857396,1.6595919864909998,-2.9051427811088,158.85341651744,619.14237979812,-1.0
2.04,0.0,0.0,0.08766755924639999,1.7230892978619998,-2.9093448474559,159.44810664928002,618.85160586033,-1.0
2.08,0.0,0.0,0.0859095885765,1.785245791195,-2.9055457189777,160.0084635055,618.51069848499,-1.0
2.12,0.0,0.0,0.08458533621785999,1.847498057245,-2.9049700934507,160.58708944416,618.19652894301,-1.0
2.16,0.0,0.0,0.08412082134012,1.9112826867669999,-2.9070999079006,161.26966016222002,618.30348027645,-1.0
2.2,0.0,0.0,0.08108222678075999,1.9720983620619998,-2.9368597476465,161.78119447054002,617.81217258846,-1.0
2.24,0.0,0.0,0.08490613378536,2.032914037357,-2.9864211055211998,162.1818543475,616.81953052497,-1.0
2.28,0.0,0.0,0.08444161890761999,2.093442394501,-2.9748510324285,162.89875834118,616.9532196917701,-1.0
2.32,0.0,0.0,0.08568887985005999,2.154258069796,-3.0031142458042,163.54699578362002,616.87969065003,-1.0
