time_s,RequestScannerOn_raw,RecordScannerOn_raw,Periodicity_raw,Phase_raw,Left-Right_raw,Ant.-Post._raw,Head-Feet_raw,MarkerBlockFound_raw
2.64,0.0,0.0,44343.0,44033.0,1284.0,47888.0,65452.0,0.0
2.68,0.0,0.0,42258.0,44692.0,1813.0,46196.0,65473.0,0.0
2.72,0.0,0.0,40767.0,45335.0,2115.0,44614.0,65526.0,0.0
2.76,0.0,0.0,40309.0,45994.0,2217.0,42669.0,65508.0,0.0
2.8,0.0,0.0,65535.0,46648.0,2258.0,40663.0,65478.0,0.0
2.84,0.0,0.0,64627.0,47298.0,2404.0,38766.0,65499.0,0.0
2.88,0.0,0.0,64162.0,47963.0,1834.0,36411.0,65402.0,0.0
2.92,0.0,0.0,63992.0,48608.0,1025.0,34243.0,65365.0,0.0
2.96,0.0,0.0,63527.0,49273.0,652.0,32175.0,65363.0,0.0
3.0,0.0,0.0,62473.0,49924.0,775.0,30372.0,65404.0,0.0
3.04,0.0,0.0,60684.0,50574.0,1068.0,28474.0,65427.0,0.0
3.08,0.0,0.0,61399.0,51221.0,1723.0,26518.0,65412.0,0.0
3.12,0.0,0.0,60936.0,51862.0,2665.0,24753.0,65438.0,0.0
3.16,0.0,0.0,61209.0,52527.0,2817.0,22806.0,65424.0,0.0
3.2,0.0,0.0,38536.0,53179.0,2460.0,20749.0,65356.0,0.0
3.24,0.0,0.0,41464.0,53830.0,1638.0,18588.0,65277.0,0.0
3.28,0.0,0.0,41890.0,54509.0,587.0,16906.0,65316.0,0.0
3.32,0.0,0.0,43051.0,55152.0,140.0,15426.0,65390.0,0.0
3.36,0.0,0.0,46708.0,55837.0,43.0,13593.0,65318.0,0.0
3.4,0.0,0.0,48600.0,56486.0,94.0,11998.0,65305.0,0.0
3.44,0.0,0.0,50932.0,57139.0,122.0,10476.0,65307.0,0.0
3.48,0.0,0.0,49740.0,57804.0,262.0,9044.0,65287.0,0.0
3.52,0.0,0.0,48549.0,58447.0,382.0,7672.0,65265.0,0.0
3.56,0.0,0.0,47946.0,59115.0,353.0,6214.0,65185.0,0.0
3.6,0.0,0.0,51887.0,59762.0,743.0,5381.0,65266.0,0.0
3.64,0.0,0.0,53627.0,60417.0,1273.0,4484.0,65297.0,0.0
3.68,0.0,0.0,53022.0,61079.0,1467.0,3529.0,65258.0,0.0
3.72,0.0,0.0,53443.0,61721.0,1364.0,2863.0,65298.0,0.0
3.76,0.0,0.0,55181.0,62392.0,1293.0,1936.0,65207.0,0.0
3.8,0.0,0.0,54723.0,63039.0,1240.0,1384.0,65203.0,0.0
3.84,0.0,0.0,54411.0,63694.0,1160.0,1180.0,65277.0,0.0
3.88,0.0,0.0,55855.0,64357.0,1138.0,1104.0,65330.0,0.0
3.92,0.0,0.0,56420.0,64999.0,952.0,662.0,65241.0,0.0
3.96,0.0,0.0,55231.0,98.0,976.0,690.0,65260.0,0.0
4.0,0.0,0.0,55650.0,745.0,1282.0,553.0,65184.0,0.0
4.04,0.0,0.0,57237.0,1402.0,2213.0,894.0,65215.0,0.0
4.08,0.0,0.0,56925.0,2048.0,2372.0,1187.0,65193.0,0.0
4.12,0.0,0.0,56614.0,2692.0,2232.0,1708.0,65223.0,0.0
4.16,0.0,0.0,58053.0,3363.0,2182.0,2328.0,65226.0,0.0
4.2,0.0,0.0,58324.0,4011.0,2083.0,2937.0,65200.0,0.0
4.24,0.0,0.0,57138.0,4668.0,2404.0,3835.0,65226.0,0.0
4.28,0.0,0.0,56827.0,5348.0,2955.0,4838.0,65250.0,0.0
4.32,0.0,0.0,55351.0,5990.0,2752.0,5684.0,65215.0,0.0
4.36,0.0,0.0,53438.0,6662.0,1594.0,6609.0,65165.0,0.0
4.4,0.0,0.0,52547.0,7308.0,927.0,7800.0,65173.0,0.0
4.44,0.0,0.0,49182.0,7967.0,532.0,9040.0,65141.0,0.0
4.48,0.0,0.0,51492.0,8631.0,212.0,10411.0,65115.0,0.0
4.52,0.0,0.0,50166.0,9274.0,223.0,11973.0,65136.0,0.0
4.56,0.0,0.0,48840.0,9948.0,138.0,13596.0,65137.0,0.0
4.6,0.0,0.0,45626.0,10595.0,626.0,15520.0,65224.0,0.0
