time_s,RequestScannerOn [unary],RecordScannerOn [unary],Periodicity [arbitrary unit],Phase [degree],Left-Right [millimeter],Ant.-Post. [millimeter],Head-Feet [millimeter],MarkerBlockFound [unary]
3.2,0.0,0.0,0.09160758497855999,5.0951493882955,-2.728084299182,153.846609643661,659.32779994068,-1.0
3.24,0.0,0.0,0.09856801182144,5.157528949459,-2.7783280202846004,153.16815701833198,659.04010524331,-1.0
3.28,0.0,0.0,0.0995806968744,5.2225915025005,-2.8425690797479,152.640087922634,659.1821317394799,-1.0
3.32,0.0,0.0,0.10234062022295999,5.2842044945560005,-2.869891395238,152.175437350914,659.4516179116999,-1.0
3.36,0.0,0.0,0.11103402219167999,5.3498419744285,-2.8758203988231004,151.59996133877698,659.18941514954,-1.0
3.4,0.0,0.0,0.115531675056,5.412029893315,-2.8727030876598003,151.099206161822,659.14207298415,-1.0
3.44,0.0,0.0,0.12107529370272,5.4746010967555,-2.8709916227074004,150.62136956036397,659.1493563942099,-1.0
3.48,0.0,0.0,0.11824167731039999,5.538322153858,-2.8624342979454003,150.171788736916,659.07652229361,-1.0
3.52,0.0,0.0,0.11541043811303998,5.5999351459135,-2.8550994481494003,149.74104509880797,658.99640478295,-1.0
3.56,0.0,0.0,0.11397698955215999,5.6639436664315,-2.8568720368501004,149.28330149504598,658.70506838055,-1.0
3.6,0.0,0.0,0.12334551488951999,5.725939943041,-2.8330337750131003,149.02177857190898,659.00004648798,-1.0
3.64,0.0,0.0,0.12748183411991998,5.7887027887585,-2.8006381884141,148.740162651076,659.1129393439099,-1.0
3.68,0.0,0.0,0.12604363116911999,5.8521363824455,-2.7887801812439004,148.44033745108098,658.97091284774,-1.0
3.72,0.0,0.0,0.12704443024728,5.913653553362501,-2.7950759273188,148.23124469380699,659.11658104894,-1.0
3.76,0.0,0.0,0.13117599508775998,5.977949537296,-2.7994157134481004,147.94021018030398,658.78518589121,-1.0
3.8,0.0,0.0,0.13008723979608,6.039945813905501,-2.8026552721080003,147.766908075176,658.77061907109,-1.0
3.84,0.0,0.0,0.12934555496855998,6.1027086596230005,-2.8075451719720004,147.70286164502,659.04010524331,-1.0
3.88,0.0,0.0,0.13277822449079998,6.166238074448501,-2.8088898944346004,147.679001210256,659.2331156099,-1.0
3.92,0.0,0.0,0.1341213396432,6.2277552453655005,-2.8202589116184003,147.540233944918,658.90900386223,-1.0
3.96,0.0,0.0,0.13129485483575998,0.008867535577000001,-2.8187919416592,147.54902463141,658.9781962577999,-1.0
4.0,0.0,0.0,0.132290899524,0.0708638121865,-2.8000880746794,147.50601305821698,658.70142667552,-1.0
4.04,0.0,0.0,0.13606350792552,0.133818300181,-2.7431818650121,147.613071061566,658.81431953145,-1.0
4.08,0.0,0.0,0.13532182309799998,0.195718755652,-2.7334631890324004,147.70505931664297,658.73420202079,-1.0
4.12,0.0,0.0,0.13458251546543998,0.257427568846,-2.7420205137944,147.868628876012,658.84345317169,-1.0
4.16,0.0,0.0,0.13800329901288,0.3217235527795,-2.7450767012094004,148.06327979119197,658.85437828678,-1.0
4.2,0.0,0.0,0.13864751884704,0.3838156505275,-2.7511279522911,148.25447722239298,658.759693956,-1.0
4.24,0.0,0.0,0.13582816562448,0.44677013852200004,-2.7315072290868003,148.53640709631497,658.85437828678,-1.0
4.28,0.0,0.0,0.13508885799192,0.5119285127020001,-2.6978280437735003,148.85130204458198,658.9417792075,-1.0
4.32,0.0,0.0,0.13158011823096,0.5734456836190001,-2.7102361646784003,149.116906357876,658.81431953145,-1.0
4.36,0.0,0.0,0.12703254427247998,0.6378374886910001,-2.7810174652098003,149.407312965201,658.63223427995,-1.0
