time_s,RequestScannerOn_raw,RecordScannerOn_raw,Periodicity_raw,Phase_raw,Left-Right_raw,Ant.-Post._raw,Head-Feet_raw,MarkerBlockFound_raw
2.64,0.0,0.0,38540.0,14281.0,1104.0,47912.0,64540.0,0.0
2.68,0.0,0.0,41885.0,14912.0,843.0,49882.0,64561.0,0.0
2.72,0.0,0.0,43060.0,15578.0,764.0,50805.0,64253.0,0.0
2.76,0.0,0.0,47359.0,16221.0,748.0,52449.0,64287.0,0.0
2.8,0.0,0.0,47327.0,16871.0,674.0,53779.0,64246.0,0.0
2.84,0.0,0.0,49217.0,17529.0,721.0,55202.0,64317.0,0.0
2.88,0.0,0.0,49425.0,18182.0,816.0,56499.0,64383.0,0.0
2.92,0.0,0.0,53708.0,18851.0,785.0,57501.0,64408.0,0.0
2.96,0.0,0.0,54152.0,19507.0,767.0,58343.0,64434.0,0.0
3.0,0.0,0.0,56511.0,20162.0,605.0,58707.0,64340.0,0.0
3.04,0.0,0.0,57431.0,20828.0,424.0,59106.0,64301.0,0.0
3.08,0.0,0.0,57632.0,21471.0,529.0,59463.0,64271.0,0.0
3.12,0.0,0.0,58311.0,22139.0,581.0,59845.0,64283.0,0.0
3.16,0.0,0.0,57557.0,22802.0,607.0,60637.0,64487.0,0.0
3.2,0.0,0.0,57996.0,23458.0,512.0,61033.0,64541.0,0.0
3.24,0.0,0.0,58436.0,24128.0,559.0,61060.0,64492.0,0.0
3.28,0.0,0.0,58397.0,24768.0,517.0,60831.0,64371.0,0.0
3.32,0.0,0.0,59312.0,25433.0,445.0,60648.0,64295.0,0.0
3.36,0.0,0.0,59987.0,25965.0,281.0,60819.0,64361.0,0.0
3.4,0.0,0.0,60900.0,26602.0,154.0,61284.0,64511.0,0.0
3.44,0.0,0.0,59909.0,27252.0,283.0,61359.0,64526.0,0.0
3.48,0.0,0.0,60108.0,27904.0,466.0,61650.0,64616.0,0.0
3.52,0.0,0.0,62206.0,28562.0,634.0,62054.0,64757.0,0.0
3.56,0.0,0.0,61691.0,29234.0,552.0,61375.0,64498.0,0.0
3.6,0.0,0.0,61650.0,29869.0,438.0,60925.0,64350.0,0.0
3.64,0.0,0.0,63032.0,30532.0,348.0,60742.0,64305.0,0.0
3.68,0.0,0.0,63938.0,31179.0,417.0,60805.0,64324.0,0.0
3.72,0.0,0.0,63424.0,31834.0,445.0,60460.0,64201.0,0.0
3.76,0.0,0.0,62673.0,32507.0,414.0,60714.0,64288.0,0.0
3.8,0.0,0.0,64996.0,33142.0,583.0,60992.0,64393.0,0.0
3.84,0.0,0.0,65190.0,33804.0,407.0,61465.0,64545.0,0.0
3.88,0.0,0.0,63968.0,34466.0,379.0,61465.0,64536.0,0.0
3.92,0.0,0.0,64870.0,35123.0,265.0,60757.0,64289.0,0.0
3.96,0.0,0.0,65535.0,35791.0,594.0,61031.0,64403.0,0.0
