time_s,RequestScannerOn [unary],RecordScannerOn [unary],Periodicity [arbitrary unit],Phase [degree],Left-Right [millimeter],Ant.-Post. [millimeter],Head-Feet [millimeter],MarkerBlockFound [unary]
0.0,0.0,0.0,0.17748704841998,3.4965001258632,-2.8965486588552,167.684806645516,605.1045796539199,-1.0
0.04,0.0,0.0,0.17184383390906002,3.5612820719544,-2.8920386221832,167.750545313365,605.30282281216,-1.0
0.08,0.0,0.0,0.17724026061338,3.6227099232035997,-2.8919822467248,167.834926290007,605.5823131664,-1.0
0.12,0.0,0.0,0.17643134502508,3.6864377252016,-2.8927715031424,167.87319208174,605.66681025024,-1.0
0.16,0.0,0.0,0.17148736263286002,3.7510280087303998,-2.9011150709856,167.699197199672,605.08508032688,-1.0
0.2,0.0,0.0,0.17136945290304,3.8118808722924,-2.8986909262744,167.765589983619,605.4100691108799,-1.0
0.24,0.0,0.0,0.1726280707167,3.8770461435084,-2.8919822467248,167.665837278674,605.11757920528,-1.0
0.28,0.0,0.0,0.16975984798666002,3.9385698260388,-2.8847098125912,167.622992674255,605.02658234576,-1.0
0.32,0.0,0.0,0.16483506020162,4.0012434839435995,-2.8848789389664002,167.655698479155,605.28657337296,-1.0
0.36,0.0,0.0,0.16815298515702,4.0658337674724,-2.879748772252,167.644905563538,605.44906776496,-1.0
0.4,0.0,0.0,0.16735229582894,4.1263991371908,-2.8856118199256002,167.6573337694,605.74805744624,-1.0
0.44,0.0,0.0,0.16380951976086,4.1894561202204,-2.8843151843824,167.566084573729,605.67655991376,-1.0
0.48,0.0,0.0,0.16164327123626002,4.2506923089072,-2.8940117632272,167.367887396035,605.3223221392,-1.0
0.52,0.0,0.0,0.16290188904992,4.3140367857804,-2.8915312430576,167.070591629494,604.8153396361599,-1.0
0.56,0.0,0.0,0.16073838261206,4.3787229005904,-2.8829057979224,166.886785005956,604.88033739296,-1.0
0.6,0.0,0.0,0.15379267689964002,4.4400549205584,-2.8861755745096,166.68924194436,604.91283627136,-1.0
0.64,0.0,0.0,0.14139296066136,4.5047410353684,-2.8786776385424,166.583275136484,605.48156664336,-1.0
0.68,0.0,0.0,0.14129698762546,4.5655938989304,-2.8821165415048,166.36054860511499,605.71230868,-1.0
0.72,0.0,0.0,0.13574426197696002,4.6283633881164,-2.8856118199256002,166.04559170392798,605.85530374496,-1.0
0.76,0.0,0.0,0.12406297246456001,4.6916120337084,-2.889614477472,165.624013878767,605.87155318416,-1.0
0.8,0.0,0.0,0.1273836395067,4.7529440536764,-2.9047231003232,164.995735366638,605.37432034464,-1.0
0.84,0.0,0.0,0.12389296308668,4.8166718556744,-2.9127284154160002,164.574157541477,605.8683032963199,-1.0
0.88,0.0,0.0,0.11768762079406,4.879249682298,-2.91188278354,164.02339178696099,606.00804847344,-1.0
0.92,0.0,0.0,0.09857253412952001,4.9445107847952,-2.91329217,163.06511170339098,604.91283627136,-1.0
0.96,0.0,0.0,0.08967446265822,5.0086219119179995,-2.9039338439056,162.18565260962998,604.38310455344,-1.0
1.0,0.0,0.0,0.08893409923842001,5.0691872816364,-2.8666132904448,161.84649341281698,605.89755228688,-1.0
1.04,0.0,0.0,0.08276714616016001,5.145660644034,-2.8491368983408,161.433092038881,607.22025663776,-1.0
1.08,0.0,0.0,0.07796575227842001,5.2034469065976,-2.8521811730944,161.028194174219,608.74120414688,-1.0
1.12,0.0,0.0,0.07384713799494,5.2671747085956,-2.8679663014464,159.793877097293,607.54524542176,-1.0
1.16,0.0,0.0,0.06635027284778,5.3300400290628,-2.8698266915736,158.27730892408,605.54006462448,-1.0
1.2,0.0,0.0,0.06562910403516001,5.3921386992804,-2.8266430904392,157.212734974585,605.36457068112,-1.0
1.24,0.0,0.0,0.06288153312168,5.4573998017775995,-2.802514394244,156.106297594818,604.93558548624,-1.0
1.28,0.0,0.0,0.06351221307188,5.5180610027772,-2.7831776120128002,155.246789042046,605.26707404592,-1.0
1.32,0.0,0.0,0.06752114388576,5.583513767836799,-2.7516073553088,154.35588291657,605.4263185500799,-1.0
1.36,0.0,0.0,0.07287369720224,5.6460915944604,-2.7343564650384002,153.589585907763,605.93330105312,-1.0
1.4,0.0,0.0,0.07552255299308,5.7082860959592,-2.751494604392,152.587807103676,605.53031496096,-1.0
1.44,0.0,0.0,0.08086139587586,5.7703847661768,-2.7482812032632,151.906872245658,606.16079320192,-1.0
1.48,0.0,0.0,0.10303116716876,5.8300876543644,-2.741628899172,151.275977269137,606.68077525632,-1.0
1.52,0.0,0.0,0.12382166883144001,5.895348756861599,-2.7283242909896,150.610414139422,606.87901841456,-1.0
1.56,0.0,0.0,0.12373940622924001,5.9581182460476,-2.736555107916,149.701192763202,605.71230868,-1.0
1.6,0.0,0.0,0.12970344488874,6.0204085788276,-2.7151888091824,149.199485716036,605.99179903424,-1.0
1.64,0.0,0.0,0.13364656562086,6.0849030310752,-2.7025043310424,148.790990212835,606.09579544512,-1.0
1.68,0.0,0.0,0.14160958551382,6.1449892443876,-2.6966412833688,148.77627260063,607.2625051796799,-1.0
1.72,0.0,0.0,0.15224613997828002,6.210537840728399,-2.7181203330192,148.491732098,606.90826740512,-1.0
1.76,0.0,0.0,0.15616732401648,6.2733073299144,-2.7104532706768,148.486499169216,607.24950562832,-1.0
1.8,0.0,0.0,0.14936420681454002,0.0526113733788,-2.700192937248,148.420760501367,607.0285132552,-1.0
1.84,0.0,0.0,0.1452483346178,0.1170099943452,-2.7063378622136,148.520840264361,606.94401617136,-1.0
1.88,0.0,0.0,0.13043558204832,0.17862950815679998,-2.708085501424,148.729503299623,606.85301931184,-1.0
1.92,0.0,0.0,0.13101690443720002,0.2442739357788,-2.7003620636232,149.23742444972,607.3860009176,-1.0
1.96,0.0,0.0,0.1249157614407,0.3062767747152,-2.7096640142592,149.550746060662,606.79127144288,-1.0
2.0,0.0,0.0,0.11548846722858,0.3686629387764,-2.7211082323144002,149.903968753582,606.11204488432,-1.0
2.04,0.0,0.0,0.1167443429555,0.43325322230519997,-2.7286061682816003,150.574110695983,606.21929118304,-1.0
